,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,chem_id,0_Cornell_Pos_S-03_LCC_PS_R1,0_Cornell_Pos_S-17_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-24_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-35_LCC_LMT_LMH_LCT_PS_PMM_RP_R1,1_Cornell_Pos_S-01_LMT_PS_PMM_R1,1_Cornell_Pos_S-04_LMT_PS_PMM_R1,1_Cornell_Pos_S-05_O_R1,1_Cornell_Pos_S-06_O_R1,1_Cornell_Pos_S-07_O_R1,1_Cornell_Pos_S-08_LMT_PS_PMM_R1,1_Cornell_Pos_S-09_LMT_PS_PMM_RP_R1,1_Cornell_Pos_S-13_O_R1,1_Cornell_Pos_S-14_LMH_PS_PMM_R1,1_Cornell_Pos_S-15_LMT_LMH_PS_PMM_R1,1_Cornell_Pos_S-18_O_R1,1_Cornell_Pos_S-19_LMH_PS_PMM_R1,1_Cornell_Pos_S-20_O_R1,1_Cornell_Pos_S-21_LMT_PS_PMM_R1,1_Cornell_Pos_S-22_O_R1,1_Cornell_Pos_S-23_O_R1,1_Cornell_Pos_S-25_O_R1,1_Cornell_Pos_S-26_O_R1,1_Cornell_Pos_S-28_LMT_PS_PMM_R1,1_Cornell_Pos_S-29_RP_R1,1_Cornell_Pos_S-30_O_R1,1_Cornell_Pos_S-31_LMT_PS_PMM_R1,1_Cornell_Pos_S-33_O_R1,1_Cornell_Pos_S-34_O_R1,1_Cornell_Pos_S-36_O_R1,1_Cornell_Pos_S-37_O_R1,1_Cornell_Pos_S-38_O_R1,1_Cornell_Pos_S-41_O_R1,1_Cornell_Pos_S-42_LMT_LMH_PS_PMM_R1,1_Cornell_Pos_S-43_RP_R1,1_Cornell_Pos_S-44_O_R1,1_Cornell_Pos_S-46_O_R1,1_Cornell_Pos_S-47_RP_R1,1_Cornell_Pos_S-48_O_R1,1_Cornell_Pos_S-49_O_R1,1_Cornell_Pos_S-50_LMH_LCT_PS_PMM_R1,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,rank,(I/m)Q,(I/m)Q - p,BH_sig
16125,16125,1.7,453.09604,w/o MS2:NCGC00381169-01! [IIN-based on: CCMSLIB00000847987],[M+H]+,ion correlated with 16126; adduct linked to 17008_[M+NH4]+,0.034,FALSE,,453.095,C22H22O8,Xanthones,NSNKDXYBGHRIGH-UHFFFAOYSA-N,COC1=CC=C2OC3=C(C(=O)C2=C1OC)C(O)=C4C5CCCC(C)(O5)OC4=C3OC,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,94.6,,,,,20.44,Cornell_Pos_S-47,453.09604:1225273 454.09939:0 455.10275:0,,444.32471_@_16.906,6.450357737,6.678764449,6.522192254,6.736447635,7.194891579,6.968756819,6.874409972,6.883179923,7.049124291,6.770802956,6.975685002,6.947126382,6.866562076,6.924686482,6.906719391,7.068030055,7.111792203,7.217583331,6.943392934,7.06729956,7.05326249,6.825233806,6.993575878,6.874069413,6.98991947,7.107206542,6.975471501,6.735753332,7.117761118,6.928953671,7.188951424,6.986352586,6.180100853,7.053707582,6.956612286,6.970545711,7.229350655,6.980275642,6.935539856,6.815938375,0.366076847,6.596940519,0.537077176,0.000352664,0.093270843,0.088484491,11,1.61E-05,-0.000336592,0
24880,24880,12.866,637.34412,Unknown,[M+H]+,,0.056,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,11.89,Cornell_Pos_S-50,637.34412:714025 638.34747:327693 639.35083:82247,,627.71552_@_2.158,5.695916512,4.11655094,3.785809512,5.441066945,4.418145039,3.346227969,4.320588498,4.260547297,3.208994688,2.393551612,3.74821668,3.460824961,4.519391705,3.721833659,3.665481517,4.203156966,3.07840239,3.069641824,3.104797044,3.217967627,3.754552625,4.169973653,3.308316188,3.678669516,3.123621943,3.553849885,3.794825326,4.170875867,3.545869306,3.219196224,4.066197289,3.778462109,2.677822103,3.656352268,2.624714767,3.603653906,4.453657523,3.259543901,3.171893115,3.371141251,-1.184253804,4.759835977,-0.53625134,0.000361585,0.302382791,0.286865503,12,1.75E-05,-0.000344052,0
20135,20135,9.276,528.31763,Unknown,[M+H]+,,0.067,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,8.86,Cornell_Pos_S-09,528.31763:511496 529.32098:0 530.32434:0,,520.86053_@_2.292,6.099704931,3.883727287,5.509722062,6.551923804,4.275514735,3.2583165,3.15721588,5.228043658,4.128549285,3.285232989,3.572829232,4.147469028,4.495204905,5.598600477,4.087729485,4.228563981,3.219952624,3.604211969,2.889882175,3.493025155,4.0377018,4.184763051,3.776175791,4.709950429,3.478841093,4.080282255,4.742770227,3.929727957,5.190235187,3.777724944,3.178746391,3.877418984,3.0629944,3.219030631,3.067249231,4.529905434,4.73300238,2.77668758,4.996915393,4.192437359,-1.560911116,5.511269521,-0.534209962,0.000384512,0.400693124,0.380130874,13,1.90E-05,-0.000365518,0
8931,8931,8.283,315.1972,"w/o MS2:NCGC00347406-02!5-(4-carboxy-3-methylbutyl)-5,6,8a-trimethyl-3-oxo-4a,6,7,8-tetrahydro-4H-naphthalene-1-carboxylic acid [IIN-based on: CCMSLIB00000847900]",[M+NH4]+,adduct linked to 8045_[M+H]+,0.584,FALSE,,315.19601,C20H30O5,Colensane and clerodane diterpenoids,XKXZAYIPFRBKHT-UHFFFAOYSA-N,CC(CCC1(C)C(C)CCC2(C)C1CC(=O)C=C2C(O)=O)CC(O)=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,92.9,,,,,162.41,Cornell_Pos_S-43_R,315.1972:115462296 316.20055:25534816 317.20391:2433574,,307.22342_@_1.794,6.885697879,7.185528652,7.091524872,7.004586449,7.584734645,7.609223357,7.041098089,7.598607334,7.926990986,7.64280563,7.849073495,7.685811636,7.341078893,7.667599745,7.62710096,7.41462756,7.415266977,7.598466147,7.333687958,7.489371554,7.52394566,7.28635813,6.958809583,7.487482543,7.156236513,7.59022468,7.677764372,7.603628662,7.669459453,7.722719491,7.815322986,7.911031495,7.642141028,7.258285603,7.159561739,7.518752679,7.081026816,7.600020106,7.38432715,7.428123782,0.466520188,7.041834463,0.528662388,0.000453542,0.121512811,0.115277175,14,2.05E-05,-0.000433088,0
21697,21697,10.596,563.37799,Unknown,[M+H]+,,0.202,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,87.61,Cornell_Pos_S-47,563.37799:6340725 564.38134:1771420 565.3847:180174,,555.52319_@_1.979,4.840661299,4.19935932,4.244952744,5.827994171,3.036183811,3.594242588,3.642286286,3.522530362,3.840019341,3.654057741,3.732784766,3.307423215,5.458240812,4.253540488,3.805674061,3.449024539,3.548340474,3.3583264,3.174059618,3.002491868,3.954030373,3.76742827,3.675707272,2.932121275,3.392359424,3.524876782,3.534597198,3.845522202,4.232055101,2.812949494,3.598661221,3.492484439,3.372182008,4.335731411,3.128126596,3.689010482,2.448660201,3.804711443,4.8976199,3.9226948,-1.146554209,4.778241883,-0.524784482,0.00050818,0.301697248,0.28621514,15,2.19E-05,-0.000486264,0
4361,4361,13.036,214.09006,w/o MS2:N-Butylbenzenesulfonamide,[M+H]+,,0.82,FALSE,9.859,214.0896,C10H15NO2S,Benzenesulfonamides,IPRJXAGUEGOFGG-UHFFFAOYSA-N,CCCCNS(=O)(=O)C1=CC=CC=C1,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,98.9,99.9,,,,15.75,Cornell_Pos_QC100_3_20240428192327,214.09006:5276438 215.09341:624226 216.09677:229969,,204.12254_@_1.797,8.214141951,8.599176542,8.426339725,8.406209595,8.90427521,9.077589882,8.324101196,8.882907001,9.252515534,8.830601392,8.994936014,9.104859707,8.702587129,8.621453182,8.887767076,8.731299274,8.980072609,8.978380782,8.717098433,8.760968711,8.699480712,8.693920034,8.519312611,8.740866857,8.464312568,9.004304266,8.959008796,8.937759996,8.902159534,9.034641257,9.355372748,9.139959421,8.545835113,8.810398006,8.608098316,8.885314977,8.701235686,8.926185886,8.89013197,8.650197002,0.427974961,8.411466953,0.522092127,0.000549502,0.113415387,0.107595284,16,2.34E-05,-0.000526125,0
33656,33656,19.565,981.30658,Unknown,[M+H]+,,0.067,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,4.96,Cornell_Pos_S-25,981.30658:232553 982.30993:0 983.31329:0,,948.58398_@_18.79,3.807802968,3.630742964,3.906638399,3.670957431,4.283913376,4.043178305,3.970816357,4.071300226,4.081813135,3.794727343,4.302605773,4.25213599,4.126921466,4.310588834,4.123596357,4.037766754,3.822416855,4.204834834,4.281418409,4.115722474,4.552174199,4.087024358,4.305274283,4.299445663,4.130420791,4.224260976,4.039787086,4.193191755,3.940202411,4.159009647,3.977206332,4.10398295,3.76162681,4.023926054,4.325044243,3.729186313,3.972434862,4.502513962,4.241325724,4.497409328,0.381775788,3.75403544,0.52090307,0.000568688,0.101489737,0.096281619,17,2.48E-05,-0.00054385,0
1404,1404,10.668,142.03476,Unknown,[M+H]+,,0.034,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,5.41,Cornell_Pos_S-07,142.03476:597582 143.03811:0 144.04147:0,,130.6001_@_11.433,2.713247099,3.446980118,2.837901125,2.266876698,3.812917052,3.450792278,3.317466678,3.972674416,3.471547389,3.565557182,3.593094089,3.897778749,3.47174273,2.660612445,3.505273821,3.647834863,3.815487203,3.721985825,3.405855807,3.607290742,3.52925218,3.124710927,3.268554764,3.226359306,3.632303256,3.496448215,3.534387768,3.593752729,3.778331156,3.812841966,3.415474662,2.851995525,4.026512113,3.579898608,3.404364813,3.078328216,3.584953859,4.183288207,3.337624362,4.693906342,0.74128208,2.81625126,0.52085865,0.000569416,0.197082505,0.186968881,18,2.63E-05,-0.000543117,0
30733,30733,15.483,796.50116,Unknown,[M+5H]5+,,0.191,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,43.12,Cornell_Pos_S-26_R,796.50116:1084719 797.50451:366528 798.50787:0,,782.84955_@_2.32,5.728217498,3.718038231,3.865731415,5.775603725,3.559588676,3.463022719,3.056283155,4.543269267,3.706270207,2.935588963,4.245102373,3.431632425,4.094062506,3.409289054,2.613346922,3.604141471,3.6610075,3.730299328,4.032033295,3.915887553,3.216429476,4.491367785,3.324171453,3.875708453,2.827660453,3.827768245,2.39847416,3.53565335,2.844685597,3.370206741,3.628548813,3.173515538,2.999866829,3.556296979,3.220038953,3.544924798,3.103091424,3.992438521,5.157113526,3.375930937,-1.231211121,4.771897717,-0.519386544,0.000594025,0.328611032,0.311747797,19,2.78E-05,-0.000566265,0
3851,3851,10.04,201.05446,Unknown,[M+H]+,,0.034,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,9.03,Cornell_Pos_S-03,201.05446:821467 202.05781:130964 203.06117:145806,,191.14363_@_11.595,5.798282898,4.787423963,4.47113501,5.543414784,4.552537382,4.654454105,4.827038943,4.974820681,4.91574678,5.083634967,4.811212703,4.699610312,4.268514896,4.78183698,4.660212615,4.831451791,4.495375269,4.506361449,4.582311888,4.430303206,4.818133183,4.758900377,4.689556782,4.487583549,4.612950067,4.405375697,4.545402665,4.220928471,4.482988356,4.444952764,4.528209437,4.244096586,4.669194512,4.240435784,4.605651163,4.501123684,4.892183877,4.62390715,4.658204491,4.851245509,-0.529051717,5.150064164,-0.519225287,0.000596778,0.141264291,0.134015074,20,2.92E-05,-0.000567557,0
8517,8517,11.473,307.0032,Unknown,[M+H]+,,0.056,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,28.95,Cornell_Pos_Blank1,307.0032:293569 308.00655:0 309.00991:0,,299.25958_@_17.548,6.079327625,6.617365624,6.54947326,5.714419007,5.794793427,5.628297356,5.693936315,5.511906592,5.883258477,5.79337334,6.072920915,5.692305139,5.713954793,5.516227216,6.11197096,5.496010947,5.902638137,5.692998076,6.178252578,6.135643574,5.868698604,5.816102141,5.796414303,5.528433001,6.165700952,5.736800087,5.933166786,5.882414383,5.712746745,5.594472294,5.684169597,5.87791661,5.512399413,5.712406262,5.909236107,6.093860502,5.669291491,6.037519937,5.707864205,5.704452391,-0.441186555,6.240146379,-0.51881925,0.000603759,0.117929256,0.111877516,21,3.07E-05,-0.000573077,0
30165,30165,8.466,777.41522,Unknown,[M+H]+,,0.034,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,23.32,Cornell_Pos_S-42_R,777.41522:2129956 778.41857:1006667 779.42193:1832228,,766.87317_@_2.226,5.321961967,3.704945463,3.970191947,6.265732908,3.603702742,3.475720365,3.472743629,4.424585177,3.674114142,3.93458149,3.810592065,3.599344944,4.238408157,3.548451783,3.59585084,3.478002035,3.54041989,3.603544083,3.779204317,3.623840285,3.803420479,4.517013927,3.822283435,3.784252741,2.991475212,2.842706633,3.723197152,4.03962343,3.118407527,3.444754923,3.339468246,3.652973148,3.668833013,3.41891392,3.194847403,3.028148668,3.029078308,3.326690736,5.698104276,3.26691944,-1.173646445,4.815708071,-0.518790918,0.000604249,0.313739376,0.297639306,22,3.21E-05,-0.000572106,0
33550,33550,9.253,973.55768,Unknown,[M+H]+,ion correlated with 27744; ion correlated with 10182; ion correlated with 27251; ion correlated with 23868; ion correlated with 26537,0.045,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,10.26,Cornell_Pos_S-25,973.55768:682628 974.56103:315878 975.56439:0,,937.81671_@_15.416,4.48529164,3.997432057,4.171766238,3.849526413,4.856683904,4.703954971,4.07738833,4.568459994,4.685082208,4.847631074,4.458334166,4.046397391,4.666143532,4.532695524,4.669117797,4.501334193,4.683867603,4.815611554,4.645968541,4.491385365,5.371343676,4.179959092,4.628458215,4.619279648,4.673422768,4.71783438,4.46061791,4.539683016,4.671997082,4.233634377,4.626677675,4.570090373,4.612801099,4.420407323,4.710422756,4.516297298,4.597039487,5.033551566,4.878633595,4.831019989,0.489085565,4.126004087,0.5155097,0.000663439,0.131879748,0.125112114,23,3.36E-05,-0.000629835,0
3494,3494,2.409,192.03928,Unknown,[M+H]+,,0.562,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,167.84,Cornell_Pos_S-50,192.03928:42438988 193.04263:2970790 194.04599:4059920,,183.15001_@_11.388,4.966989702,4.761754894,4.639494791,4.915814627,4.640348334,4.226849788,4.588448578,4.766330769,4.455659907,4.838163069,4.866825908,4.417203309,4.605682098,4.712567417,4.408198671,4.461458464,4.501978502,4.510428209,4.390468717,4.754902932,4.418490367,4.408837257,4.279977595,4.228648157,4.390005243,4.223639232,4.32928182,4.384273779,4.475715033,4.328786575,4.536263552,4.780632167,4.64179962,4.399469205,4.434886785,4.404562242,4.433155746,4.54282203,4.522043634,4.422623436,-0.328473833,4.821013503,-0.515502773,0.00066357,0.088573129,0.084027849,24,3.51E-05,-0.000628504,0
