,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,chem_id,0_Cornell_Pos_S-14_LMH_PS_PMM_R1,0_Cornell_Pos_S-15_LMT_LMH_PS_PMM_R1,0_Cornell_Pos_S-17_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-19_LMH_PS_PMM_R1,0_Cornell_Pos_S-24_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-35_LCC_LMT_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-42_LMT_LMH_PS_PMM_R1,0_Cornell_Pos_S-50_LMH_LCT_PS_PMM_R1,1_Cornell_Pos_S-01_LMT_PS_PMM_R1,1_Cornell_Pos_S-03_LCC_PS_R1,1_Cornell_Pos_S-04_LMT_PS_PMM_R1,1_Cornell_Pos_S-05_O_R1,1_Cornell_Pos_S-06_O_R1,1_Cornell_Pos_S-07_O_R1,1_Cornell_Pos_S-08_LMT_PS_PMM_R1,1_Cornell_Pos_S-09_LMT_PS_PMM_RP_R1,1_Cornell_Pos_S-13_O_R1,1_Cornell_Pos_S-18_O_R1,1_Cornell_Pos_S-20_O_R1,1_Cornell_Pos_S-21_LMT_PS_PMM_R1,1_Cornell_Pos_S-22_O_R1,1_Cornell_Pos_S-23_O_R1,1_Cornell_Pos_S-25_O_R1,1_Cornell_Pos_S-26_O_R1,1_Cornell_Pos_S-28_LMT_PS_PMM_R1,1_Cornell_Pos_S-29_RP_R1,1_Cornell_Pos_S-30_O_R1,1_Cornell_Pos_S-31_LMT_PS_PMM_R1,1_Cornell_Pos_S-33_O_R1,1_Cornell_Pos_S-34_O_R1,1_Cornell_Pos_S-36_O_R1,1_Cornell_Pos_S-37_O_R1,1_Cornell_Pos_S-38_O_R1,1_Cornell_Pos_S-41_O_R1,1_Cornell_Pos_S-43_RP_R1,1_Cornell_Pos_S-44_O_R1,1_Cornell_Pos_S-46_O_R1,1_Cornell_Pos_S-47_RP_R1,1_Cornell_Pos_S-48_O_R1,1_Cornell_Pos_S-49_O_R1,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,rank,(I/m)Q,(I/m)Q - p,BH_sig
1562,1562,11.411,145.10152,Unknown,[M+H]+,,0.101,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,4.65,Cornell_Pos_S-25_R,145.10152:1488536 146.10487:0 147.10823:417588,,134.38826_@_11.599,4.986709186,4.676720966,3.261908849,4.02830654,4.03729666,3.654538531,3.462435305,4.56752593,3.687919784,3.195865869,3.096669879,2.627383401,3.849232673,3.573209388,3.481292313,3.172181242,3.283094218,2.962213936,4.113106506,4.105708887,3.659773211,3.006237534,4.538257435,3.568043649,3.84059445,2.907579375,3.823005839,3.635566535,3.956010663,3.412285777,3.569613267,3.697442947,3.67724529,3.472687021,3.34397489,3.282379971,4.397972386,3.388005807,3.622027113,3.48407755,-0.539722158,4.084430246,-0.432700977,0.005293017,0.182420806,0.163162129,110,0.000160711,-0.005132306,0
23986,23986,1.838,614.0058,Unknown,[M+H]+,,0.157,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,13.76,Cornell_Pos_S-35_R,614.0058:582235 615.00915:0 616.01251:0,,604.44067_@_19.22,5.854469663,5.973133169,5.657806946,6.069161728,5.878233982,5.683156491,5.949511953,6.036348152,6.34036795,6.551922776,6.412010546,6.135398651,6.408240013,6.468878652,6.258565942,6.181644481,6.052725102,5.984967345,6.016134724,5.997966736,6.143394491,6.472949169,6.079735361,6.026683166,6.402722854,6.288357265,6.228924267,6.063008524,6.036463045,6.325996362,6.425465559,5.854659853,6.071589003,5.469598407,6.044326727,5.964797654,5.763706969,5.945639222,5.998066556,6.492942662,0.265642553,5.887727761,0.432593077,0.00530566,0.089812135,0.080330416,111,0.000162172,-0.005143489,0
4456,4456,11.387,216.60323,Unknown,[M+H]+,,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,9.08,Cornell_Pos_Blank1,216.60323:37666 217.60658:0 218.60994:0,,206.07056_@_2.319,4.738134828,4.973861024,3.837422325,4.493172848,3.506529599,5.980672479,4.584865598,6.266173644,4.300167704,4.402223472,3.92295002,4.57073463,4.578577537,4.471464014,4.437673963,4.510442606,4.377676115,3.778309246,3.969240131,3.474223409,4.821281626,3.219487263,4.89525968,3.949957915,3.270057599,3.471764212,4.064673298,3.966183549,3.131008741,3.48781145,4.582928685,3.687499626,3.084525995,4.571023274,4.743376171,3.77184768,3.516699132,4.185311888,3.737541006,4.784158825,-0.743351529,4.797604043,-0.432541738,0.005311685,0.251359338,0.224822627,112,0.000163633,-0.005148053,0
27246,27246,1.93,697.26892,w/o MS2:Arctigenin 4'-O-beta-gen,[M+H]+,,0.045,FALSE,4.73,697.27002,C33H44O16,Lignan glycosides,FEQSYBHDHIPRKS-QWNZGVGBSA-N,O=C1OCC(CC2=CC=C(OC)C(OC)=C2)C1CC3=CC=C(OC4OC(COC5OC(CO)C(O)C(O)C5O)C(O)C(O)C4O)C(OC)=C3,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,93.9,100,,,,18.79,Cornell_Pos_S-13,697.26892:793912 698.27227:0 699.27563:0,,687.97235_@_1.972,4.53916577,4.528095759,3.343516834,3.952833435,4.042249459,4.693567664,5.099032519,4.039405154,3.372706969,4.426499653,3.353063267,3.013287468,4.219621608,4.546152979,4.699572787,4.174509649,4.346252193,3.75015569,3.652437875,3.054687423,3.468887847,3.164256833,2.844974394,3.166534014,2.90524697,4.108761515,3.514798641,3.559627647,3.888223694,3.937944045,3.058544757,3.766665642,3.42676226,3.969557069,3.489114631,3.856255778,3.821503894,2.903932424,3.875670496,4.238388529,-0.605527117,4.279733324,-0.432027955,0.005372308,0.20505444,0.183406267,113,0.000165094,-0.005207214,0
29659,29659,18.89,763.52954,Unknown,[M+H]+,,0.303,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,22.32,Cornell_Pos_S-25,763.52954:1403588 764.53289:605883 765.53625:0,,751.4715_@_13.385,5.97114699,5.58546041,4.058901756,4.636511015,4.330716873,5.785283753,6.368125328,5.036919019,3.463920594,5.783444525,4.311529427,6.090063356,4.681789404,3.423424561,4.774774893,5.413700411,5.405178833,4.117143801,4.446712471,3.940209874,3.978699269,4.529312996,5.062898428,3.977209533,5.079687431,3.544108036,3.343128225,4.759816729,3.098200957,3.904687339,3.200244324,3.940446841,3.690350637,4.178914795,3.544975455,4.477908312,3.346287672,5.529253407,3.83656249,4.350774342,-0.933340663,5.221633143,-0.430927946,0.005504119,0.317056194,0.283583681,114,0.000166555,-0.005337565,0
4306,4306,2.608,213.09763,w/o MS2:Perseitol,[M+H]+,,0.393,FALSE,,213.09689,C7H16O7,Sugar alcohols,OXQKEKGBFMQTML-UHFFFAOYSA-N,OCC(O)C(O)C(O)C(O)C(O)CO,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,97.2,,,,,24.85,Cornell_Pos_S-25,213.09763:25871090 214.10098:2699219 215.10434:0,,203.05228_@_9.062,5.602369711,4.685932285,5.290308476,4.530977311,4.796729431,5.406742118,4.727188543,5.406287513,4.595211304,5.196525888,4.565208384,4.981954697,4.232166856,4.365911591,4.411641667,4.570609184,4.512256592,4.078135184,5.137423884,4.070214857,2.954430925,4.267990974,4.306776221,4.347809469,4.467302889,4.805471742,4.834456616,4.780514258,4.046930584,4.0455046,5.583360975,4.693742767,4.956685312,4.560350219,4.703480579,4.530379068,4.211390731,4.538825958,5.154099125,3.893366591,-0.543312871,5.055816923,-0.429947636,0.005623938,0.185080248,0.165540806,115,0.000168016,-0.005455923,0
15560,15560,15.892,440.3511,Unknown,[M+H]+,ion correlated with 16330; ion correlated with 15656; similar chromatogram in higher mz_16330,0.045,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,16.4,Cornell_Pos_S-46_R,440.3511:1315554 441.35445:337878 442.35781:0,,432.30988_@_15.436,6.324359469,7.15347605,5.607399032,4.968275597,5.118730316,7.320039523,6.739727921,6.333220691,4.33477461,6.325673252,5.260412455,6.286879182,5.764059542,5.356958199,6.236873254,5.174707338,5.879620293,4.359779877,5.085239472,4.944840181,6.036050398,5.575303013,5.708718495,4.438112842,4.992771757,5.735626788,3.787529763,5.417965414,4.755087081,4.202546684,6.190962918,4.951127407,5.570296337,6.735946631,5.72315209,5.160373426,4.485779517,5.52781282,5.837807117,4.465625491,-0.873515648,6.195653575,-0.429923627,0.005626901,0.297584646,0.266167799,116,0.000169477,-0.005457424,0
4361,4361,13.036,214.09006,w/o MS2:N-Butylbenzenesulfonamide,[M+H]+,,0.82,FALSE,9.859,214.0896,C10H15NO2S,Benzenesulfonamides,IPRJXAGUEGOFGG-UHFFFAOYSA-N,CCCCNS(=O)(=O)C1=CC=CC=C1,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,98.9,99.9,,,,15.75,Cornell_Pos_QC100_3_20240428192327,214.09006:5276438 215.09341:624226 216.09677:229969,,204.12254_@_1.797,8.702587129,8.621453182,8.599176542,8.731299274,8.426339725,8.406209595,8.545835113,8.650197002,8.90427521,8.214141951,9.077589882,8.324101196,8.882907001,9.252515534,8.830601392,8.994936014,9.104859707,8.887767076,8.980072609,8.978380782,8.717098433,8.760968711,8.699480712,8.693920034,8.519312611,8.740866857,8.464312568,9.004304266,8.959008796,8.937759996,8.902159534,9.034641257,9.355372748,9.139959421,8.810398006,8.608098316,8.885314977,8.701235686,8.926185886,8.89013197,0.264071528,8.585387195,0.429525645,0.005676208,0.090064723,0.080556338,117,0.000170938,-0.00550527,0
12127,12127,12.439,375.2139,"w/o MS2:[(1R,2S,3S,4R,4aS)-2,3-dihydroxy-3,4a,8,8-tetramethyl-4-[(E)-3-oxobut-1-enyl]-2,4,5,6,7,8a-hexahydro-1H-naphthalen-1-yl] acetate",[M+H]+,ion correlated with 10914,0.539,FALSE,,375.21417,C20H32O5,Sesquiterpenoids,BNOWPELKBYSHKU-GFZHNTIHSA-N,O=C(OC1C(O)C(O)(C)C(C=CC(=O)C)C2(C)CCCC(C)(C)C12)C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,99.6,,,,,66.8,Cornell_Pos_S-03,375.2139:13903432 376.21725:2832141 377.22061:352528,,368.3017_@_16.768,4.894743636,4.641668815,4.812106641,4.908508801,4.999017887,4.787479407,4.614006634,4.81200572,4.477480372,4.449833032,4.432407427,4.066767181,4.552541366,4.168528111,4.77241677,4.464345424,4.037078698,4.506831721,4.538057856,4.100364821,4.443184327,4.793491267,4.940983603,3.49083135,3.358561365,4.113803496,3.9859027,4.541574322,4.612290819,4.261361486,4.78468503,3.105166951,4.57616994,4.211212393,4.811077428,4.602173016,4.379016936,3.940324217,4.181334007,5.163028727,-0.469228875,4.808692193,-0.429322258,0.00570155,0.16012903,0.143223758,118,0.000172399,-0.005529151,0
24015,24015,2.211,614.80621,Unknown,[M+H]+,,0.101,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,34.51,Cornell_Pos_S-25,614.80621:2559908 615.80956:0 616.81292:594784,,605.38751_@_10.895,7.235867497,7.610259356,4.991208057,6.890772121,6.407027855,5.955607598,7.133287178,5.619233601,4.843076819,5.865783847,4.022783741,6.421028458,6.169519592,5.917220382,7.501363493,6.128363217,6.854376618,4.826225502,4.764387813,7.062770602,4.754168948,4.645484073,5.747704936,4.950485468,4.559244245,4.524389555,4.662385261,4.60347039,4.585022149,4.908682089,5.804246955,4.668877479,4.007158819,5.510104183,7.224306391,4.765697493,6.174657768,6.328785823,4.665002616,4.701083216,-1.100162347,6.480407908,-0.429253185,0.005710178,0.375515429,0.33587121,119,0.00017386,-0.005536319,0
8275,8275,9.387,302.19608,"w/o MS2:NCGC00380108-02!(4E,6E)-2-(hydroxymethyl)-3-(3-methoxy-3-oxopropyl)deca-4,6-dienoic acid",[M+H]+,,0.202,FALSE,,302.19601,C15H24O5,Medium-chain fatty acids,PVHUKALHRBPQNM-BSWSSELBSA-N,CCC\C=C\C=C\C(CCC(=O)OC)C(CO)C(O)=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,100,,,,,14.65,Cornell_Pos_S-07,302.19608:4571625 303.19943:1081146 304.20279:0,,295.17133_@_10.405,4.650449217,4.68541731,5.91324099,3.399922684,4.342859365,5.483472471,7.260310205,6.692801547,3.714638651,4.683107827,4.894683008,5.023706851,4.924389168,4.816009677,4.772157137,5.112724561,4.875841392,4.059418132,4.170853417,4.394755841,4.186337509,4.725925142,5.351131357,4.408291767,4.332169649,2.179326759,3.556573353,4.496174399,4.023664515,3.909894984,5.396592237,3.767164572,3.40280019,5.162090569,4.439417394,3.068129449,4.329918553,4.662552765,4.265955379,3.715530289,-0.965374021,5.303559224,-0.428834885,0.005762675,0.329902466,0.295073736,120,0.000175321,-0.005587354,0
1681,1681,0.129,148.06154,w/o MS2:GLUTAMIC ACID,[M+H]+,,0.551,FALSE,,148.061,C5H9NO4,Glutamic acid and derivatives,WHUUTDBJXJRKMK-VKHMYHEASA-N,C(CC(=O)O)[C@@H](C(=O)O)N,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,98.5,,,,,6.97,Cornell_Pos_S-41_R,148.06154:958294 149.06489:186612 150.06825:91907,,138.81908_@_12.014,3.046740246,3.974162405,3.513593772,2.691127652,2.204253953,3.077031066,3.421545679,3.000881021,3.814551506,3.44162181,3.667174835,3.127124962,3.50618835,4.562523491,3.764531425,3.4437695,3.678026947,3.317350042,3.742433428,3.502945337,3.721591695,3.478898579,3.923850204,3.683502879,3.093289595,3.230022053,3.764237544,3.683313303,2.893391387,3.302553164,3.710952528,3.21098471,2.926323765,3.734252726,3.688300518,3.81955449,3.474499771,3.743891395,3.203945437,3.944759054,0.440094164,3.116166974,0.428229252,0.005839422,0.150656339,0.134751126,121,0.000176782,-0.00566264,0
10737,10737,8.412,349.20209,w/o MS2:Avocadyne Acetate,[M+H]+,,0.539,FALSE,,349.20242,C19H34O4,Long-chain fatty alcohols,JAKAZHIACKJNNB-UHFFFAOYSA-N,O=C(OCC(O)CC(O)CCCCCCCCCCCC#C)C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,99.4,,,,,261.1,Cornell_Pos_S-36_R,349.20209:95597688 350.20544:23563442 351.2088:0,,342.22672_@_7.88,3.936192353,3.699430048,3.780097306,3.585159615,3.389867342,4.09058154,4.000561492,3.860097206,3.40950088,2.912736101,3.293576172,3.670838324,4.21511741,3.784728431,3.383300682,3.586216806,3.634439925,3.241444736,3.276327472,3.260303742,3.617088584,3.701977184,2.656010629,3.673331428,3.81587138,3.775649135,3.413166572,3.006730488,3.30534182,3.662747328,3.114084044,3.223459558,3.822450562,3.394594686,3.5417528,3.565100752,3.638991433,3.258601119,3.354718414,3.121689604,-0.344876856,3.792748363,-0.428154603,0.005848943,0.118086041,0.105619366,122,0.000178243,-0.0056707,0
23315,23315,2.339,598.79175,Unknown,[M+H]+,ion correlated with 18653,0.101,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,7.62,Cornell_Pos_S-25,598.79175:1067621 599.7951:0 600.79846:459734,,590.72003_@_11.739,3.802273939,3.921345965,3.420171636,3.520325771,3.27833789,4.804678538,4.805376184,4.849611453,3.624556328,3.830701209,3.790195574,3.593478055,3.875386336,3.326261673,3.15561347,3.380029575,3.841758014,3.846548022,3.440671252,2.788595539,2.691433534,3.749465007,2.593486975,2.528705161,4.113984047,2.827216824,2.500721294,2.952523895,3.532009817,4.2395865,3.122691692,2.873053319,3.882046148,3.452414742,3.433152582,3.037297618,4.512791196,3.745216105,3.656435784,3.475427995,-0.631094695,4.050265172,-0.428095136,0.005856536,0.216123953,0.19330714,123,0.000179704,-0.005676833,0
6023,6023,11.844,255.33743,Unknown,[M+H]+,ion correlated with 30868; ion correlated with 13845; ion correlated with 16677; ion correlated with 8602,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,15.92,Cornell_Pos_Blank1,255.33743:78886 256.34078:0 257.34414:0,,246.17128_@_4.465,4.549802812,3.954012705,6.179952875,6.163959992,6.26257087,4.273725597,4.364745217,4.704366302,6.142844615,5.000281201,5.929757201,4.459711023,3.618637571,4.826180461,7.301091215,4.526918029,7.634835258,6.671049763,6.630960479,6.765745957,6.5588856,6.426624094,4.793983912,6.246657511,5.923522365,6.204141842,6.105383817,6.563506167,6.48596214,6.941053558,7.305460047,6.792113693,6.649250415,5.194841571,7.130750248,6.378427999,6.31460757,6.336239498,6.355274867,6.052663598,1.076713057,5.056642046,0.427652188,0.005913369,0.36919746,0.330220247,124,0.000181165,-0.005732205,0
9373,9373,7.878,324.10831,w/o MS2:Dehydroevodiamine,[M+H]+,,0.056,FALSE,5.15,324.10999,C19H15N3O,Quinazolines,VXHNSVKJHXSKKM-UHFFFAOYSA-N,O=C1C=2C=CC=CC2[N+](=C3C=4[N-]C=5C=CC=CC5C4CCN13)C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,86.4,100,,,,11.01,Cornell_Pos_S-42,324.10831:1019512 325.11166:247207 326.11502:0,,316.28534_@_18.081,5.545922498,5.749475694,5.758245351,5.646023438,5.665274448,5.783130416,5.480592705,5.649617793,5.432280709,5.303460946,5.660434071,5.49026834,5.431656826,5.442744225,5.367772963,5.697988451,5.355366465,5.691051102,5.660145069,5.378849608,5.688220864,5.501245772,5.356342871,5.479950523,5.273321189,5.358582183,5.625635844,5.564554679,5.553081128,5.737174191,5.258371445,5.708145142,5.252477797,5.695305742,5.573600574,5.57376067,5.559833407,5.437091336,5.413462448,5.392575044,-0.162449305,5.659785293,-0.427568407,0.005924172,0.0557161,0.049833995,125,0.000182626,-0.005741547,0
30620,30620,13.341,792.59357,Unknown,[M+H]+,,0.18,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,24.35,Cornell_Pos_S-04,792.59357:3202396 793.59692:3735342 794.60028:929535,,779.8877_@_17.073,2.740153384,3.0201742,3.715308321,3.072183834,2.999634772,2.884889118,3.3533549,3.847306677,4.033344202,3.603313807,3.913924979,4.103365674,3.445392513,2.894127744,4.044955165,3.921749367,3.865722233,3.921429163,4.116761951,3.558554583,4.019881131,3.249250904,3.645380293,3.996884815,3.407083198,3.88049729,4.277156298,3.715836866,3.641590625,3.303850128,3.352591556,3.393667729,3.680632712,3.636800542,3.985057498,4.07946473,3.895333457,3.340017414,2.314565839,3.279091624,0.468289225,3.204125651,0.427337827,0.005953992,0.160717684,0.143750267,126,0.000184087,-0.005769906,0
15355,15355,9.774,436.26779,"w/o MS2:4-[(2R,3R)-3-[(3,4-dimethoxyphenyl)methyl]-4-methoxy-2-(methoxymethyl)butyl]-1,2-dimethoxybenzene",[M+H]+,,0.045,FALSE,5.733,436.2677,C24H34O6,Dibenzylbutane lignans,KFLQGJQSLUYUBF-PMACEKPBSA-N,O(C1=CC=C(C=C1OC)CC(COC)C(COC)CC2=CC=C(OC)C(OC)=C2)C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,100,99.9,,,,7.41,Cornell_Pos_S-25,436.26779:883940 437.27114:2955743 438.2745:0,,429.29019_@_16.795,7.366672202,8.675647335,7.663903487,8.475710827,8.430961156,8.524044437,8.063489475,8.656205514,8.546409235,8.366634424,8.734301955,8.627907248,8.363821053,8.558377425,8.512713501,8.614725697,8.312536549,8.366333198,8.530993953,8.682378395,8.718626662,8.375024245,8.641597653,8.57697775,8.595944891,8.561754385,8.529256102,8.666478833,8.04923175,8.425803168,8.597960208,8.657135866,8.769367269,8.516820544,8.54619982,8.406274302,8.429855561,8.370474387,8.683074192,8.343567444,0.289125623,8.232079304,0.427113396,0.005983142,0.099292207,0.08880965,127,0.000185548,-0.005797594,0
5530,5530,10.986,244.14252,w/o MS2:Carnosine,[M+H]+,,0.09,FALSE,,244.14041,C9H14N4O3,Hybrid peptides,CQOVPNPJLQNMDC-ZETCQYMHSA-N,O=C(O)C(N=C(O)CCN)CC1=CN=CN1,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,79.4,,,,,4.31,Cornell_Pos_S-05_R,244.14252:488514 245.14587:0 246.14923:0,,234.53726_@_12.014,3.76508723,3.729531464,2.979683669,4.160134741,4.020739425,3.691521073,3.908151019,3.582799991,2.807099968,3.859611935,3.336009683,3.669921034,3.104904647,2.448332229,3.697082751,3.673251403,3.019799688,3.24232226,3.531855956,3.526622593,3.065791475,2.45086122,3.90288919,3.51348718,3.046659624,3.608588856,3.512851689,3.492431253,3.552081574,3.037773367,3.419883906,3.49356193,3.026661933,3.450494052,3.431830517,3.179390276,3.280140312,3.642192132,3.124671547,3.247272317,-0.404820811,3.729706077,-0.427075315,0.0059881,0.139039686,0.124360875,128,0.000187009,-0.005801091,0
8689,8689,17.402,310.31015,Unknown,[M+H]+,,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,3.95,Cornell_Pos_S-01,310.31015:501523 311.3135:103808 312.31686:0,,303.07501_@_12.275,3.220398673,2.080049938,2.734494518,3.258212004,3.282308996,2.969614335,3.710816946,3.473035882,3.639042501,3.139334852,2.960389627,3.114167088,3.735297994,3.118475716,3.731989447,3.349216657,3.242157771,3.778284911,3.338228443,3.994432802,3.620567142,3.617014867,3.603493849,3.459556728,3.855892721,3.699528833,3.581035621,3.784970516,3.31063123,3.404399825,3.426575843,3.744354573,3.600352495,3.872397007,3.349909058,3.284584279,3.786680054,2.548026306,3.498152622,3.670912066,0.404510259,3.091116411,0.42699793,0.005998187,0.138963819,0.124293018,129,0.00018847,-0.005809717,0
27965,27965,17.066,715.94885,Unknown,[M+H]+,,0.067,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,3.67,Cornell_Pos_S-31,715.94885:55028 716.9522:0 717.95556:0,,705.4422_@_17.429,4.562250111,4.510225288,4.516356812,4.573154905,4.266894055,4.11577834,4.394544563,4.363079732,4.331971355,4.6239046,4.308140505,3.855889459,3.525532307,4.018980215,4.016271096,3.399579373,3.939675889,4.432416051,3.963914674,3.884242229,4.560572946,4.127465361,4.027022533,4.31303493,4.430120419,4.031287274,3.86449946,4.076650077,4.25328147,3.99543856,3.965581368,3.82836922,4.274526619,3.718379073,4.17131344,4.336212577,4.251100104,4.272015288,3.852677983,4.582792599,-0.31175863,4.412785476,-0.426947259,0.006004799,0.107115844,0.095807324,130,0.000189931,-0.005814869,0
34216,34216,12.102,1048.44202,Unknown,[M+H]+,,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,14.16,Cornell_Pos_Blank1,1048.44202:54834 1049.44537:0 1050.44873:0,,999.22327_@_1.894,5.081222447,5.443423506,4.361614396,4.158403753,4.332749861,6.228031262,4.785753653,5.176683156,3.689469422,4.77225341,4.214860493,4.467928868,4.331494672,4.435402162,4.852312393,4.349113011,4.981940126,4.032507768,2.759581177,3.549043975,4.26292687,4.48665606,5.018059339,4.771559129,4.17275503,2.511642221,3.844238642,3.622730523,3.844877282,4.379697585,5.117888478,4.261343417,3.725158754,4.749895069,5.007886864,4.241744207,4.261214009,4.415525223,4.601196339,3.747636682,-0.712218404,4.945985254,-0.426459128,0.006068824,0.245050634,0.219179951,131,0.000191392,-0.005877433,0
779,779,11.002,123.25629,Unknown,[M+H]+,similar chromatogram in higher mz_14136; similar chromatogram in higher mz_14217,0.112,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,6.88,Cornell_Pos_S-09,123.25629:126189 124.25964:0 125.263:0,,114.0669_@_1.894,8.095431016,7.950361698,7.970235091,8.1817675,7.859996201,8.242671873,8.407223724,7.907781159,6.613148318,8.180705256,6.672153405,8.219436248,7.936789161,8.071642981,8.116697675,7.604928879,7.993608117,7.811825828,6.572005376,6.76195089,7.138977932,6.838587642,8.165517971,6.377027276,7.98705115,6.57283859,7.987421586,6.546234269,6.682088892,6.890760864,8.052742162,6.420692718,7.989255311,8.126823137,7.960383115,7.062025976,6.8208362,7.958604673,6.577580407,6.557825731,-0.724803291,8.076933533,-0.426371685,0.006080356,0.249443187,0.223108769,132,0.000192853,-0.005887503,0
21040,21040,2.523,549.08301,Unknown,[M+H]+,ion correlated with 21760; ion correlated with 6506; ion correlated with 31029; ion correlated with 23518,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,4.94,Cornell_Pos_S-25,549.08301:628682 550.08636:0 551.08972:0,,540.09424_@_2.031,6.358645962,6.111879966,5.986671679,5.881865458,6.427549225,6.536303651,5.345178485,5.837060296,5.828756337,6.081368526,5.109487867,6.044144864,6.389435151,5.580576519,4.842383371,4.983956875,4.554794424,5.993733652,5.485143824,4.470221491,5.561322955,4.693426409,4.509191347,5.259967619,4.620958545,5.173602995,5.89585923,5.857683912,4.708671137,5.612402045,6.375678224,5.504935084,5.441786981,4.99856867,6.052214241,6.285950682,5.084271648,6.217142804,4.579961736,4.516434774,-0.67583078,6.06064434,-0.426358176,0.006082139,0.23259816,0.208042119,133,0.000194314,-0.005887825,0
21991,21991,2.044,569.1405,w/o MS2:hypocrellin A,[M+H]+,adduct linked to 22732_[M+NH4]+,0.09,FALSE,5.62,569.14001,C30H26O10,Perylenequinones,BQJKVFXDDMQLBE-RNAHPLFWSA-N,O=C1C(OC)=C2C=3C=4C1=C(O)C=C(OC)C4C=5C(OC)=CC(O)=C6C(=O)C(OC)=C(C3C65)C(C(=O)C)C(O)(C)C2,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,98.8,99.9,,,,184.6,Cornell_Pos_S-23,569.1405:4145544 570.14385:1189696 571.14721:0,,561.78955_@_15.524,5.80807288,6.158638789,6.135601388,5.629566873,5.855218188,6.269636565,6.101560884,5.88151356,5.560019482,5.487952216,5.841436643,5.214892968,5.695497534,5.095482087,5.755180686,5.440958155,5.193431128,5.721897277,6.330136619,5.980437937,5.870262289,6.151317865,5.498270979,5.586467112,5.568861564,5.627481132,4.816781587,6.037057008,5.619851962,5.299776142,5.727464734,4.899305657,5.429584649,5.921169712,6.097463614,5.587908423,5.805008762,5.551406761,5.662513486,5.410496944,-0.371045731,5.979976141,-0.425871309,0.006146707,0.12787983,0.114379197,134,0.000195775,-0.005950932,0
