,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,chem_id,0_Cornell_Pos_S-14_LMH_PS_PMM,0_Cornell_Pos_S-15_LMT_LMH_PS_PMM,0_Cornell_Pos_S-17_LCC_LMH_LCT_PS_PMM_RP,0_Cornell_Pos_S-19_LMH_PS_PMM,0_Cornell_Pos_S-24_LCC_LMH_LCT_PS_PMM_RP,0_Cornell_Pos_S-35_LCC_LMT_LMH_LCT_PS_PMM_RP,0_Cornell_Pos_S-42_LMT_LMH_PS_PMM,0_Cornell_Pos_S-50_LMH_LCT_PS_PMM,1_Cornell_Pos_S-01_LMT_PS_PMM,1_Cornell_Pos_S-03_LCC_PS,1_Cornell_Pos_S-04_LMT_PS_PMM,1_Cornell_Pos_S-05_O,1_Cornell_Pos_S-06_O,1_Cornell_Pos_S-07_O,1_Cornell_Pos_S-08_LMT_PS_PMM,1_Cornell_Pos_S-09_LMT_PS_PMM_RP,1_Cornell_Pos_S-13_O,1_Cornell_Pos_S-18_O,1_Cornell_Pos_S-20_O,1_Cornell_Pos_S-21_LMT_PS_PMM,1_Cornell_Pos_S-22_O,1_Cornell_Pos_S-23_O,1_Cornell_Pos_S-25_O,1_Cornell_Pos_S-26_O,1_Cornell_Pos_S-28_LMT_PS_PMM,1_Cornell_Pos_S-29_RP,1_Cornell_Pos_S-30_O,1_Cornell_Pos_S-31_LMT_PS_PMM,1_Cornell_Pos_S-33_O,1_Cornell_Pos_S-34_O,1_Cornell_Pos_S-36_O,1_Cornell_Pos_S-37_O,1_Cornell_Pos_S-38_O,1_Cornell_Pos_S-41_O,1_Cornell_Pos_S-43_RP,1_Cornell_Pos_S-44_O,1_Cornell_Pos_S-46_O,1_Cornell_Pos_S-48_O,1_Cornell_Pos_S-49_O,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,rank,(I/m)Q,(I/m)Q - p,BH_sig
19105,19105,9.826,358.4054,Unknown,[M-H]-,ion correlated with 42537; ion correlated with 47366; ion correlated with 23996; ion correlated with 39633; ion correlated with 29168; ion correlated with 31188; ion correlated with 47165; ion correlated with 16255; ion correlated with 26125; ion correlated with 38374; ion correlated with 42675; ion correlated with 43091; ion correlated with 47447; ion correlated with 20260; ion correlated with 16205; ion correlated with 40303; ion correlated with 35660; ion correlated with 45367; ion correlated with 48039; ion correlated with 22645; ion correlated with 7303; ion correlated with 32660; ion correlated with 42326; ion correlated with 44694; ion correlated with 47265; ion correlated with 30060; ion correlated with 40435; ion correlated with 24773; ion correlated with 37212; ion correlated with 42508; ion correlated with 16112; ion correlated with 18442; ion correlated with 33826; ion correlated with 37981; ion correlated with 41255; ion correlated with 34123; ion correlated with 48577; ion correlated with 10770; ion correlated with 21844; ion correlated with 46757; ion correlated with 48411; ion correlated with 42717; ion correlated with 43743; ion correlated with 22727; ion correlated with 25047; ion correlated with 6280; ion correlated with 9093; ion correlated with 31252; ion correlated with 35616; ion correlated with 41736; ion correlated with 8328,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,8.4,Cornell_Neg_S-15_R2,358.4054:66058 359.40875:0 360.41211:0,,382.26895,5.68034594,6.615377152,5.341507725,5.398630856,5.742200205,4.658230875,4.770855692,5.862909787,5.340801913,5.913775188,5.856348187,5.486684038,5.004164397,5.099873925,4.812301573,5.869820845,5.765362653,5.417529817,5.268849321,5.31847551,5.204636757,5.802983299,5.569252735,4.784578069,4.731314727,4.30053027,5.053965343,4.936237194,4.776741126,5.083982515,4.920491172,4.989714496,4.743831055,4.35508738,4.788659681,4.777455823,4.668981963,5.196535414,5.105901725,-0.381503469,5.508757279,-0.316376883,0.049736829,0.188057812,0.167664039,1795,0.00184686,-0.047889969,0
27703,27703,11.417,483.2218,Unknown,[M-H]-,,0.111,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,5.6,Cornell_Neg_S-15,483.2218:316856 484.22515:87928 485.22851:0,,514.31171,2.995400699,6.404136148,3.509335219,4.826181687,3.870461797,5.831243786,5.576116657,6.048246172,5.295117131,3.452260078,4.725740166,3.688526315,5.93968071,4.448400046,6.172535797,6.249688283,4.994409546,5.714330598,5.718851143,5.517245397,5.079251813,5.839290399,5.566968103,6.040187426,5.932261639,5.627173762,6.052240562,5.879083258,5.959149475,6.001826488,5.774436669,5.86336599,5.809930895,5.488762877,5.484066967,5.979227999,5.800333809,5.831785018,5.862738549,0.658936081,4.882640271,0.31637581,0.049737646,0.3248163,0.289591865,1796,0.001847889,-0.047889758,0
21299,21299,9.501,388.18832,Unknown,[M-H]-,,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,6.28,Cornell_Neg_S-15,388.18832:80274 389.19167:0 390.19503:199518,,416.14142,5.873527816,4.925791511,6.407234666,5.694713978,5.991842956,3.410351195,5.362772661,5.867518457,5.817876177,6.178905182,5.86047127,6.102543123,5.682516461,4.760855808,5.918131293,5.269840876,5.587520709,5.799389491,5.447847701,5.712293535,5.718254993,5.634708966,5.509944089,3.868279388,3.143520778,3.555245869,3.848649189,3.521187379,3.117907893,3.263990877,3.717442063,3.73697622,3.118725333,3.954921431,3.420949982,3.57276001,3.492833873,3.694289951,3.341879187,-0.881375313,5.441719155,-0.316386369,0.049729608,0.434449499,0.387335983,1794,0.001845831,-0.047883777,0
34635,34635,1.792,606.91296,Unknown,[M-H]-,ion correlated with 22274; ion correlated with 43661; ion correlated with 29937; ion correlated with 41555; ion correlated with 46778; ion correlated with 48551; ion correlated with 43168; ion correlated with 16250; ion correlated with 36231; ion correlated with 37610; ion correlated with 47456; ion correlated with 19248; ion correlated with 20773; ion correlated with 39769; ion correlated with 47523; ion correlated with 36148; ion correlated with 47966; ion correlated with 22387; ion correlated with 25971; ion correlated with 17326; ion correlated with 25589; ion correlated with 47062; ion correlated with 10600; ion correlated with 48441; ion correlated with 43570; ion correlated with 25453; ion correlated with 45615; ion correlated with 17568; ion correlated with 21446; ion correlated with 40045; ion correlated with 46790,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,11.25,Cornell_Neg_S-22,606.91296:66112 607.91631:0 608.91967:0,,659.09808,3.481042606,5.29116009,4.642578273,4.01226614,4.272084483,3.96315632,5.557994758,4.504221073,5.677537401,4.808524929,3.320180997,3.496431364,4.209421175,4.422548805,4.409840171,4.585849728,5.767265354,4.663229635,4.7104897,4.931673195,5.391250431,6.164676671,4.598187756,5.397181068,5.59961128,5.584951686,6.329360856,5.7257418,6.150149999,6.228000146,5.829903329,5.964509714,4.957046157,5.228853761,5.595123475,4.379416142,4.522607226,5.988183803,3.750001059,0.643719252,4.465562968,0.316414009,0.049708572,0.317272739,0.28286636,1793,0.001844802,-0.04786377,0
32386,32386,14.504,559.00226,Unknown,[M-H]-,,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,2.44,Cornell_Neg_QC100_1,559.00226:61644 560.00561:0 561.00897:221188,,602.1712,3.864835011,4.793601986,3.81286937,4.164311033,3.99696976,3.498580437,3.602972588,3.878466248,5.014092207,3.408112857,3.059718558,3.597089839,3.33631324,3.894197683,4.228958934,3.720886859,4.343113055,3.859438647,3.365717501,3.696516477,4.149509339,3.400199954,3.596293093,3.256454109,3.34315639,3.523498623,3.563152707,3.448149933,3.631502059,3.298576011,3.690615359,2.936421278,3.429194241,3.750878905,3.280999797,3.70047044,3.761792968,3.507420008,3.685434909,-0.323257224,3.951575804,-0.316447901,0.049682787,0.159306247,0.142030413,1792,0.001843773,-0.047839014,0
32216,32216,2.132,555.15338,Unknown,[M-H]-,,0.033,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,14.94,Cornell_Neg_S-49,555.15338:128173 556.15673:0 557.16009:0,,598.2464,3.513546082,3.667452125,5.299126216,3.766130672,3.060212336,3.63118172,3.833057837,3.384550122,3.410549787,3.137316915,3.848977512,3.405066383,3.528325085,3.017085884,4.457433281,2.277266169,3.302211179,3.49065992,3.627593989,3.5753839,4.201895883,3.439936216,2.6724918,3.342698253,3.172450136,3.411087252,3.169841735,3.733934476,3.710454513,2.416041077,3.500979097,2.202644663,3.530402018,3.149727643,3.699589024,3.399393153,3.560329853,3.38007715,2.996963882,-0.422026241,3.769407139,-0.31645243,0.049679342,0.207977865,0.185423878,1791,0.001842744,-0.047836598,0
28961,28961,2.038,502.68787,Unknown,[M-H]-,ion correlated with 22334; ion correlated with 33395; ion correlated with 48367; ion correlated with 46983; ion correlated with 47855; ion correlated with 41103; ion correlated with 36709; ion correlated with 40914; ion correlated with 48131; ion correlated with 48216; ion correlated with 45703; ion correlated with 47043; ion correlated with 48115; ion correlated with 34921; ion correlated with 30086; ion correlated with 10047; ion correlated with 45611; ion correlated with 46386; ion correlated with 47379; ion correlated with 15047; ion correlated with 45825; ion correlated with 17132; ion correlated with 19054; ion correlated with 33646; ion correlated with 10156; ion correlated with 15617; ion correlated with 23726; ion correlated with 42248; ion correlated with 43318; ion correlated with 44294; ion correlated with 47310; ion correlated with 29408; ion correlated with 38477; ion correlated with 44788; ion correlated with 20630; ion correlated with 35402; ion correlated with 37318; ion correlated with 38676; ion correlated with 47927; ion correlated with 48187; ion correlated with 15272; ion correlated with 37990; ion correlated with 45310; ion correlated with 45409; ion correlated with 20828; ion correlated with 47230; ion correlated with 45529; ion correlated with 48097; ion correlated with 46332; ion correlated with 15620,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,1649.28,Cornell_Neg_S-34,502.68787:82464 503.69122:0 504.69458:0,,533.11914,4.714199787,4.623590388,4.567308742,4.374995659,4.790173081,4.714426166,5.057264709,4.663055127,4.010552724,5.181224563,4.325649051,5.010566738,4.618931484,6.361964745,4.623311328,4.856496278,5.890302787,4.732124253,4.240444946,4.482688581,4.913697703,5.647628713,4.47665776,5.261814608,5.248971976,6.190474712,5.975282192,5.708998442,5.674459255,5.791207675,5.034251343,5.70270533,5.245237445,5.417000606,5.137594616,4.240203562,5.421852259,5.069005422,4.699252934,0.447052455,4.688126707,0.316463553,0.049670882,0.220302375,0.196411867,1790,0.001841715,-0.047829167,0
4835,4835,2.102,161.98688,w/o MS2:Acesulfame,[M-H]-,,0.011,FALSE,1.5,161.98669,C4H5NO4S,Organic sulfuric acids and derivatives,YGCFIWIQZPHFLU-UHFFFAOYSA-N,S1(NC(C=C(O1)C)=O)(=O)=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,99.8,100,,,,9.03,Cornell_Neg_S-34_R2,161.98688:331232 162.99023:0 163.99359:0,,170.93929,5.724636266,5.903044384,5.166064347,4.730338067,4.709939547,3.673512077,5.176339252,5.011375056,4.176774209,5.841720711,5.921431545,4.589993519,4.791704681,4.915061978,5.677109876,5.184851778,5.370203033,4.825276783,4.641102124,5.050464828,4.786094516,3.715829058,4.576830664,4.752693467,3.967022758,4.278772105,3.62185081,3.664845075,4.135938455,4.99407948,2.599966898,3.520439201,3.883096013,3.798271322,3.179923226,4.622719757,3.483418606,3.683515,3.339889181,-0.638006426,5.011906125,-0.316545104,0.049608896,0.314312311,0.280226972,1789,0.001840686,-0.047768209,0
7235,7235,1.511,194.92784,w/o MS2:6-Phospho-D-gluconate,[M-H]-,found in higher mz's MsMs_26554,0.811,TRUE,7.007,194.92999,C6H13O10P,Monosaccharide phosphates,BIRSGZKFKXLSJQ-SQOUGZDYSA-N,OC(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,78.6,99.8,,,,671.08,Cornell_Neg_S-15,194.92784:116104096 195.93119:2166672 196.93455:12984323,74.92669:93264 79.95798:124777 80.96552:140569 92.68287:98410 96.96031:85158544 176.91742:136866 184.17543:98218 194.9279:1462942,204.94185,4.573515599,5.745116095,4.107218289,5.061627745,5.166622499,4.437266864,4.070994557,4.676890141,4.572277458,4.565194401,4.53643849,5.337263535,5.622871826,3.438617595,4.482588798,5.238472657,4.842699708,4.643541589,3.906565326,3.895262372,4.13193666,4.754317751,4.600461122,3.602800149,4.395317655,2.693773928,4.088797781,3.8948433,4.09475411,2.899806442,4.349007336,4.951574782,4.226250888,4.314492142,3.346697057,3.283342104,3.967712892,3.955687944,3.392406066,-0.535526671,4.729906473,-0.31657616,0.049585306,0.263797146,0.235189883,1788,0.001839658,-0.047745649,0
19755,19755,12.642,367.15869,Dehydroisoandrosterone sulfate,[M-H]-,similar chromatogram in higher mz_24441; similar chromatogram in higher mz_26569; similar chromatogram in higher mz_29259; similar chromatogram in higher mz_30182; similar chromatogram in higher mz_31624; similar chromatogram in higher mz_31791; similar chromatogram in higher mz_31891; similar chromatogram in higher mz_32304; similar chromatogram in higher mz_39177; similar chromatogram in higher mz_40543; similar chromatogram in higher mz_40961; similar chromatogram in higher mz_42379; found in higher mz's MsMs_39251; similar chromatogram in higher mz_39433; similar chromatogram in higher mz_39985; similar chromatogram in higher mz_22101; similar chromatogram in higher mz_22232; similar chromatogram in higher mz_21716; found in higher mz's MsMs_30182; similar chromatogram in higher mz_39990; similar chromatogram in higher mz_40072; similar chromatogram in higher mz_40473,0.867,TRUE,1.352,367.1586,C19H28O5S,Sulfated steroids,CZWCKYRVOZZJNM-USOAJAOKSA-N,O=C1CCC2C3CC=C4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C,430,TRUE,TRUE,TRUE,,FALSE,FALSE,,,91.1,99.4,84,84,100,463.16,Cornell_Neg_S-04,367.15869:41221684 368.16204:9712244 369.1654:2398750,96.9603:2169898 189.12944:89958 205.12961:21615 223.13557:26910 287.20355:62578 331.19336:29904 349.20392:47732 367.15897:18270876,393.01205,5.095115279,6.988299239,5.300707089,3.569915435,5.082233024,6.201029946,4.907847553,4.811155892,5.280968697,6.564759362,6.045452465,3.19512223,4.017791854,4.717282138,4.449987221,4.511061397,4.383686833,3.712433451,2.992018668,4.353164698,3.974237229,4.636018013,4.803073787,4.01951494,3.643832746,3.488375303,3.884455037,5.9550537,4.729748467,6.184954747,3.741915724,4.62151196,4.420697844,3.360950149,4.066851019,3.458500741,3.426697272,5.618362013,6.052102876,-0.782906236,5.244537932,-0.3166204,0.049551718,0.38559491,0.343779389,1787,0.001838629,-0.047713089,0
2618,2618,0.946,132.06689,w/o MS2:L-beta-Homothreonine,[M-H]-,,0.044,FALSE,,132.06609,C5H11NO3,Beta amino acids and derivatives,NIVRJEWVLMOZNV-QWWZWVQMSA-N,CC(O)C(N)CC(O)=O,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,96.7,,,,,2.12,Cornell_Neg_S-30,132.06689:106736 133.07024:0 134.0736:8957,,136.04074,4.19457944,4.022061383,4.069768365,4.015518262,3.941542924,5.011100796,4.646295874,4.723841358,4.73875282,4.569414879,4.54628349,4.286085791,4.160991787,4.17321176,4.561328017,4.257606586,4.352307963,4.100479672,4.19682057,4.339670024,4.311117843,4.136072335,4.157789086,4.70055662,4.998570994,4.638539173,5.045919235,4.586176443,5.355030815,4.736089599,5.036193584,5.115290913,4.80931725,5.007498136,5.085770285,5.001647191,4.700911298,4.760746575,4.763435481,0.292221973,4.32808855,0.316689128,0.049499574,0.143889679,0.128285682,1786,0.0018376,-0.047661974,0
