,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,chem_id,0_Cornell_Pos_S-01_LMT_PS_PMM_R1,0_Cornell_Pos_S-04_LMT_PS_PMM_R1,0_Cornell_Pos_S-08_LMT_PS_PMM_R1,0_Cornell_Pos_S-09_LMT_PS_PMM_RP_R1,0_Cornell_Pos_S-14_LMH_PS_PMM_R1,0_Cornell_Pos_S-15_LMT_LMH_PS_PMM_R1,0_Cornell_Pos_S-17_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-19_LMH_PS_PMM_R1,0_Cornell_Pos_S-21_LMT_PS_PMM_R1,0_Cornell_Pos_S-24_LCC_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-28_LMT_PS_PMM_R1,0_Cornell_Pos_S-31_LMT_PS_PMM_R1,0_Cornell_Pos_S-35_LCC_LMT_LMH_LCT_PS_PMM_RP_R1,0_Cornell_Pos_S-42_LMT_LMH_PS_PMM_R1,1_Cornell_Pos_S-03_LCC_PS_R1,1_Cornell_Pos_S-05_O_R1,1_Cornell_Pos_S-06_O_R1,1_Cornell_Pos_S-07_O_R1,1_Cornell_Pos_S-13_O_R1,1_Cornell_Pos_S-18_O_R1,1_Cornell_Pos_S-20_O_R1,1_Cornell_Pos_S-22_O_R1,1_Cornell_Pos_S-23_O_R1,1_Cornell_Pos_S-25_O_R1,1_Cornell_Pos_S-26_O_R1,1_Cornell_Pos_S-29_RP_R1,1_Cornell_Pos_S-30_O_R1,1_Cornell_Pos_S-33_O_R1,1_Cornell_Pos_S-34_O_R1,1_Cornell_Pos_S-36_O_R1,1_Cornell_Pos_S-37_O_R1,1_Cornell_Pos_S-38_O_R1,1_Cornell_Pos_S-41_O_R1,1_Cornell_Pos_S-43_RP_R1,1_Cornell_Pos_S-44_O_R1,1_Cornell_Pos_S-46_O_R1,1_Cornell_Pos_S-47_RP_R1,1_Cornell_Pos_S-48_O_R1,1_Cornell_Pos_S-49_O_R1,1_Cornell_Pos_S-50_LMH_LCT_PS_PMM_R1,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,rank,(I/m)Q,(I/m)Q - p,BH_sig
27104,27104,17.501,694.18848,Unknown,[M+H]+,,0.124,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,3.2,Cornell_Pos_S-04_R,694.18848:65424 695.19183:0 696.19519:0,,684.12585_@_1.823,4.415286893,4.790503234,4.445325788,4.654419538,4.743541905,4.630573164,4.42842677,4.481133865,4.401854064,4.997223877,4.564844245,4.651959013,4.988043741,4.566462684,4.902481108,5.074391893,5.207798878,5.023140488,5.313309755,5.14001434,4.498437954,5.335596099,4.923192703,4.37105016,5.115296651,5.103756762,4.449651062,5.099564653,5.711809186,5.277677233,4.395093803,4.576391301,4.911723505,4.948859232,4.901271185,4.95274704,4.453415525,5.269089211,5.61619474,5.065253894,0.360360848,4.625685627,0.492690222,0.001239077,0.103250775,0.083243436,11,1.61E-05,-0.001223006,0
23335,23335,1.997,599.13324,Unknown,[M+H]+,,0.169,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,43.5,Cornell_Pos_S-23,599.13324:1289702 600.13659:453859 601.13995:403993,,591.26178_@_11.781,2.49024136,2.5089632,2.672001176,3.165034308,3.352986372,3.301863134,3.907551286,3.427260081,3.160661143,3.71970085,2.819457567,2.772572289,3.544796547,3.656818379,3.546825001,3.464543771,3.155337062,4.854976868,4.856434294,4.265107102,3.162844919,3.746905007,3.860756466,3.473387968,3.430322387,3.266856805,4.335236792,3.375478848,4.195034993,3.443988296,3.559931726,4.00100782,3.785490242,4.796313366,2.964901693,4.474939198,3.810000752,3.369045216,3.942029321,3.171572756,0.602560883,3.178564835,0.492272991,0.001252813,0.172839261,0.139347467,12,1.75E-05,-0.001235281,0
9323,9323,2.106,323.09805,w/o MS2:Pesticide9_Desmedipham_C16H16N2O4_3-[(Ethoxycarbonyl)amino]phenyl phenylcarbamate,[M+NH4]+,adduct linked to 8485_[M+H]+,0.494,FALSE,,323.10001,C16H16N2O4,Phenylcarbamic acid esters,WZJZMXBKUWKXTQ-UHFFFAOYSA-N,CCOC(=O)NC1=CC(=CC=C1)OC(=O)NC2=CC=CC=C2,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,82,,,,,99.54,Cornell_Pos_S-47,323.09805:8175931 324.1014:1044612 325.10476:0,,315.48566_@_10.558,3.492054854,3.843362643,4.308291747,2.948999884,3.451467504,4.446033873,3.695399913,3.799019643,3.764965675,3.809457963,3.561959758,3.786295423,4.1312442,3.663298293,3.604593011,3.335959521,2.87619139,3.005980492,3.721742538,3.7789404,3.531015453,3.747049624,3.34328585,3.587308164,2.942464652,3.21663515,3.231612318,2.64413541,3.867845702,3.295268954,2.823442913,3.304133823,3.550741422,4.102349516,3.405075889,2.213570095,3.20983017,3.072349302,3.159646352,3.637697398,-0.448692359,3.764417955,-0.480367694,0.001706079,0.132897238,0.107145179,13,1.90E-05,-0.001687086,0
19302,19302,2.027,512.93109,Unknown,[M+4H]4+,ion correlated with 15082,0.112,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,16.25,Cornell_Pos_S-49,512.93109:954911 513.93444:0 514.9378:0,,506.06705_@_12.276,3.689315749,2.979465847,3.193199979,2.568086573,3.294692521,3.442135308,3.086027195,2.761519061,3.702738834,3.828650285,2.976854437,2.864275824,2.080493126,3.314991178,3.638837488,3.298223661,3.595403192,3.340404454,3.394819894,3.3314954,3.757727753,3.234275745,3.888152286,3.682084602,3.276656003,3.570692953,3.597270047,3.266683171,3.714464279,3.471046566,3.469731025,3.631407207,3.453390587,3.122111236,3.247480439,3.5782528,3.781514036,3.596485276,3.435735005,3.28094814,0.359424482,3.127317566,0.47877634,0.0017765,0.106916931,0.086199186,14,2.05E-05,-0.001756046,0
5526,5526,13.247,244.12746,Unknown,[M+H]+,,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,21.96,Cornell_Pos_S-22,244.12746:1922906 245.13081:356784 246.13417:55215,,234.30455_@_10.746,3.156849524,3.187086602,3.040796383,3.411293863,3.735517184,2.515876205,3.231058464,2.936037107,2.767954286,3.01045227,2.597518249,3.752632533,3.671337531,3.668305774,3.522822233,3.611361717,3.394579708,3.81984073,3.285372564,3.702242251,3.75061166,3.897899826,2.615257515,2.93866766,3.681520075,3.735133086,3.469211887,3.395862451,3.81252128,3.149314609,3.723445084,3.586464387,3.896655293,3.805077321,3.669266692,3.857723727,3.514120098,3.758409174,3.832003743,3.562568733,0.384837181,3.19162257,0.477002967,0.001857985,0.115028231,0.092738725,15,2.19E-05,-0.001836069,0
3021,3021,9.87,181.08615,w/o MS2:NCGC00385870-01!1-[4-hydroxy-3-(2-hydroxyethyl)phenyl]ethanone,[M+H]+,,0.011,FALSE,,181.086,C10H12O3,Alkyl-phenylketones,KLCSKEIAIWQUEE-UHFFFAOYSA-N,CC(=O)C1=CC(CCO)=C(O)C=C1,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,99.9,,,,,2.42,Cornell_Pos_S-14,181.08615:732677 182.0895:416424 183.09286:0,,172.98839_@_0.124,5.210319222,5.288972332,5.34948312,5.350662028,5.385182303,5.484635095,5.334725641,5.40652527,5.366957472,5.350839098,5.22393105,5.363447912,5.332707193,5.353772645,5.254024969,5.247300359,5.234306212,5.281841489,5.228467352,5.334018318,5.221897152,5.31596116,5.349084252,5.067904935,5.308665544,5.306112661,5.363134035,5.246288806,5.131372644,5.263551266,5.278738684,5.181228767,5.356642109,5.343655282,5.296872843,5.270324489,5.322480527,5.278879093,5.254874711,5.152595577,-0.07800287,5.343011456,-0.474398248,0.001983641,0.023480726,0.018930766,16,2.34E-05,-0.001960265,0
27381,27381,7.812,701.38641,Unknown,[M+H]+,,0.067,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,13.55,Cornell_Pos_S-08,701.38641:2242638 702.38976:862137 703.39312:0,,691.37451_@_11.806,5.810480964,4.023059818,5.679590979,6.430803718,4.950629053,6.046444356,3.691703321,5.23327093,4.369437961,5.020165092,4.07066198,5.744540829,4.505393399,5.331469678,5.169463519,4.336118305,4.39807189,3.206429164,5.501049399,5.356160952,5.116831024,3.675038834,4.21394791,4.669432967,4.154782301,3.792261555,4.047047935,3.251185526,4.464456539,3.398432578,4.735115692,3.581426586,3.905677664,3.30456917,5.477154917,3.559456414,4.454423315,3.214562543,4.585471925,4.475055231,-0.83238522,5.064832291,-0.471282681,0.002143723,0.252703299,0.203735913,17,2.48E-05,-0.002118886,0
20624,20624,1.822,539.08344,Unknown,[M+H]+,,0.067,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,32.02,Cornell_Pos_S-07_R,539.08344:643369 540.08679:707603 541.09015:0,,530.76855_@_15.384,5.288829331,4.835886678,4.973779244,5.094987607,5.089967319,5.119313512,5.250121569,5.096965194,5.292616358,4.850830532,5.094418086,4.891917761,5.002607385,5.223773524,5.184998479,5.044026096,4.856152608,4.816037012,4.990789301,4.440433623,4.725724788,4.829228837,4.745226232,4.838776312,5.108570007,4.989415031,4.362819476,4.806108416,5.007207109,5.147691031,4.8553625,5.066161518,4.592975131,4.884866527,5.042903249,4.561854378,5.000904357,5.03129523,4.888794211,4.801958784,-0.208990229,5.079001007,-0.471108663,0.00215299,0.063477336,0.051177065,18,2.63E-05,-0.002126692,0
22303,22303,18.237,576.41046,Unknown,[M+H]+,,0.483,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,39.36,Cornell_Pos_QC100_2,576.41046:7926378 577.41381:2954819 578.41717:593969,,568.06915_@_1.847,3.231672638,3.228878722,4.767951254,4.0685109,4.258888583,5.065163226,4.653073873,3.561626528,3.565660767,4.556843378,2.797295066,2.246189559,4.70199638,4.060115551,5.051408608,4.625626326,4.958160492,4.667964286,5.03567924,4.038575658,3.441577633,3.409674188,3.863141953,3.685791312,5.612630347,4.772481042,4.400507962,4.845363118,5.553692347,5.09451935,4.427648219,4.318877637,5.162494405,5.173769602,4.561077735,4.766066331,4.80245269,4.437182877,5.553625647,5.008983023,0.752486487,3.911704745,0.470562936,0.002182281,0.228895982,0.18454184,19,2.78E-05,-0.002154522,0
12390,12390,11.133,381.15912,w/o MS2:MMV021660,[M+H]+,,0.169,FALSE,,381.15881,C20H21ClN6,Aminopyrimidines and derivatives,MAWVFNZYCWVYTG-UHFFFAOYSA-N,ClC1=CC=C(C=C1)NC(=N)NC2=NC(=CC(=NCCC=3C=CC=CC3)N2)C,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,99.5,,,,,7.54,Cornell_Pos_S-09,381.15912:686940 382.16247:244815 383.16583:0,,373.20099_@_12.165,7.098816153,6.47498139,6.515483417,6.629447457,6.843676685,7.246911704,6.215316712,6.788668673,6.487439875,6.462701715,6.953532157,6.658303052,6.249120106,7.474176694,6.657285347,6.674515751,6.245122401,5.899267516,6.835330532,5.909598085,7.032271077,5.659517617,6.274715221,6.869320687,6.189774106,5.904260327,5.703037658,5.724915511,6.580089617,6.118297888,6.694924144,6.008472231,5.876614431,5.693891694,6.137798248,5.496196322,7.080479144,5.791863001,6.466142775,6.786270348,-0.478635624,6.721326842,-0.46907334,0.002264025,0.146187916,0.117860466,20,2.92E-05,-0.002234805,0
15329,15329,2.059,435.35336,Unknown,[M+H]+,ion correlated with 15330,0.258,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,90.58,Cornell_Pos_S-28,435.35336:8883325 436.35671:1881225 437.36007:316681,,429.06363_@_1.817,4.667412008,4.316184442,5.107876952,5.177757437,4.920410137,5.314769768,4.922231709,4.912371065,4.651189142,5.623562532,4.219818744,4.767513666,4.917542333,4.689340845,5.144059948,5.653778994,5.422703501,5.6377699,4.989058212,4.991666075,4.447406618,5.23345598,4.642242616,5.611714815,5.578444016,5.371419044,4.946398013,5.687824834,5.368234134,5.280983898,4.967140099,4.913916329,5.088168561,5.493556043,5.765859985,5.505255261,5.128601447,5.022011853,5.957395623,5.090557244,0.394909952,4.871998627,0.468812531,0.00227861,0.120701916,0.097312996,21,3.07E-05,-0.002247929,0
15431,15431,2.085,438.20978,"w/o MS2:[(3aR,4S,6E,10Z,11aR)-10-(hydroxymethyl)-6-methyl-3-methylidene-2-oxo-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-4-yl] (Z)-4-acetyloxy-2-(hydroxymethyl)but-2-enoate",[M+H]+,,0.067,FALSE,3.977,438.2114,C22H28O8,Germacranolides and derivatives,KJVWRZGLXRPUHV-FSBSVGJXSA-N,O=C(OC1CC(=CCCC(=CC2OC(=O)C(=C)C21)CO)C)C(=CCOC(=O)C)CO,530,TRUE,TRUE,FALSE,,FALSE,FALSE,,,87.3,100,,,,20.03,Cornell_Pos_S-08,438.20978:1019427 439.21313:0 440.21649:0,,430.29803_@_9.834,6.582547072,6.300194948,6.373713966,6.080058046,6.445797944,7.081133866,6.432537605,4.67574838,6.343518014,6.374702364,5.197614311,6.45899098,6.47136323,6.366546553,5.369761449,6.60286893,5.952946587,6.597341946,6.008254137,4.550345748,4.338691328,3.873656641,4.914125814,7.449089272,4.159847991,5.156531705,3.838504285,6.617594484,6.215121338,5.062383697,3.891749073,4.3638779,5.434670287,4.92456478,4.804587113,4.112286965,4.985270942,6.110334902,4.36124324,6.635435559,-0.983958636,6.227461949,-0.468503382,0.002296007,0.300995527,0.242670352,22,3.21E-05,-0.002263864,0
27480,27480,1.933,702.73615,Unknown,[M+H]+,,0.112,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,18.76,Cornell_Pos_S-36,702.73615:647386 703.7395:0 704.74286:0,,694.18848_@_17.501,3.518770979,4.493568689,3.983172888,3.759938444,3.168651204,3.913497971,3.731181258,4.157245087,4.230975839,4.281256501,3.833514693,4.036900503,4.110668012,4.313070323,4.091097624,4.309379604,4.503819175,4.332742126,4.298300797,4.328711185,4.3964287,4.214568509,4.352348732,4.64873466,4.392718344,4.070940533,3.895581051,4.061663747,4.44156789,4.139897366,3.867847292,4.362085817,4.418412818,4.414847919,4.155023275,3.946420297,4.159804454,3.967948125,4.592724131,4.218391551,0.286553181,3.966600885,0.467672009,0.002343369,0.087856969,0.070832553,23,3.36E-05,-0.002309766,0
