,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,chem_id,0_Cornell_Pos_S-03_LCC_PS,0_Cornell_Pos_S-17_LCC_LMH_LCT_PS_PMM_RP,0_Cornell_Pos_S-24_LCC_LMH_LCT_PS_PMM_RP,0_Cornell_Pos_S-35_LCC_LMT_LMH_LCT_PS_PMM_RP,1_Cornell_Pos_S-01_LMT_PS_PMM,1_Cornell_Pos_S-04_LMT_PS_PMM,1_Cornell_Pos_S-05_O,1_Cornell_Pos_S-06_O,1_Cornell_Pos_S-07_O,1_Cornell_Pos_S-08_LMT_PS_PMM,1_Cornell_Pos_S-09_LMT_PS_PMM_RP,1_Cornell_Pos_S-13_O,1_Cornell_Pos_S-14_LMH_PS_PMM,1_Cornell_Pos_S-15_LMT_LMH_PS_PMM,1_Cornell_Pos_S-18_O,1_Cornell_Pos_S-19_LMH_PS_PMM,1_Cornell_Pos_S-20_O,1_Cornell_Pos_S-21_LMT_PS_PMM,1_Cornell_Pos_S-22_O,1_Cornell_Pos_S-23_O,1_Cornell_Pos_S-25_O,1_Cornell_Pos_S-26_O,1_Cornell_Pos_S-28_LMT_PS_PMM,1_Cornell_Pos_S-29_RP,1_Cornell_Pos_S-30_O,1_Cornell_Pos_S-31_LMT_PS_PMM,1_Cornell_Pos_S-33_O,1_Cornell_Pos_S-34_O,1_Cornell_Pos_S-36_O,1_Cornell_Pos_S-37_O,1_Cornell_Pos_S-38_O,1_Cornell_Pos_S-41_O,1_Cornell_Pos_S-42_LMT_LMH_PS_PMM,1_Cornell_Pos_S-43_RP,1_Cornell_Pos_S-44_O,1_Cornell_Pos_S-46_O,1_Cornell_Pos_S-48_O,1_Cornell_Pos_S-49_O,1_Cornell_Pos_S-50_LMH_LCT_PS_PMM,slope,intercept,rvalue,pvalue,stderr,intercept_stderr,rank,(I/m)Q,(I/m)Q - p,BH_sig
25430,25430,6.859,450.19199,Unknown,[M-H]-,ion correlated with 13587; ion correlated with 30131; ion correlated with 25816; ion correlated with 28030; ion correlated with 37532; ion correlated with 24577; ion correlated with 24809; ion correlated with 39296; ion correlated with 3089; ion correlated with 25042; ion correlated with 38708; ion correlated with 22195; ion correlated with 34576; ion correlated with 21711; ion correlated with 37446; ion correlated with 24320; ion correlated with 24503; ion correlated with 35095; ion correlated with 32849; ion correlated with 29580; ion correlated with 32803; ion correlated with 40074; ion correlated with 38269; ion correlated with 19225; ion correlated with 42894; ion correlated with 21340; ion correlated with 22257; ion correlated with 37621; ion correlated with 39375; ion correlated with 24706; ion correlated with 25497; ion correlated with 40205; ion correlated with 21001; ion correlated with 28319; ion correlated with 33112; ion correlated with 21142; ion correlated with 27681; ion correlated with 41685; ion correlated with 25158; ion correlated with 1270; ion correlated with 17735; ion correlated with 21066,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,3.93,Cornell_Neg_S-15,450.19199:64497 451.19534:0 452.1987:0,,479.16068,3.586260061,3.77314213,2.809165188,5.515918198,5.301608537,3.862938134,5.862323727,5.281783072,6.31237266,5.853035925,5.651482026,4.993367884,3.282924708,6.059676237,5.358744584,5.102774901,5.270900002,5.544394883,6.535020669,6.295367939,5.237395429,6.080218874,6.274640156,4.721810615,5.262113965,6.097395804,5.787484208,5.552083898,5.62514467,5.897164789,5.69390362,5.120289243,5.483711363,4.771146349,6.077093977,4.686555837,6.067725526,6.665543282,6.002076169,1.612370425,3.921121394,0.555357409,0.00024275,0.396928262,0.376022421,11,1.13E-05,-0.000231432,0
37279,37279,13.272,673.37708,Unknown,[M-H]-,ion correlated with 22725; ion correlated with 18286; ion correlated with 17567; ion correlated with 5023; ion correlated with 15836; ion correlated with 30118; ion correlated with 44703; ion correlated with 16860; ion correlated with 39932; ion correlated with 45345; ion correlated with 9937; ion correlated with 11394; ion correlated with 29044; ion correlated with 43263; ion correlated with 17041; ion correlated with 18093; ion correlated with 21073; ion correlated with 23803; ion correlated with 44811; ion correlated with 4260; ion correlated with 7072; ion correlated with 7282; ion correlated with 9643; ion correlated with 17968; ion correlated with 32950; ion correlated with 41170; ion correlated with 11461; ion correlated with 14486; ion correlated with 14823; ion correlated with 44885; ion correlated with 47358; ion correlated with 6212; ion correlated with 9925; ion correlated with 20338; ion correlated with 29172; ion correlated with 35427; ion correlated with 46420; ion correlated with 48569; ion correlated with 11544; ion correlated with 12027; ion correlated with 9520; ion correlated with 30576; ion correlated with 31425; ion correlated with 34517; ion correlated with 46669; ion correlated with 32951; ion correlated with 9442; ion correlated with 10145; ion correlated with 13170; ion correlated with 22238; ion correlated with 39971; ion correlated with 48369; ion correlated with 9525; ion correlated with 46715; ion correlated with 48546; ion correlated with 18932; ion correlated with 25898; ion correlated with 36131; ion correlated with 4483; ion correlated with 6620; ion correlated with 12233; ion correlated with 13500; ion correlated with 2434; ion correlated with 16110; ion correlated with 18907; ion correlated with 34777; ion correlated with 15439; ion correlated with 20964; ion correlated with 3380; ion correlated with 4114; ion correlated with 19610; ion correlated with 22430; ion correlated with 38391; ion correlated with 39641; ion correlated with 16402; ion correlated with 18771; ion correlated with 19320; ion correlated with 32592; ion correlated with 36033; ion correlated with 18323; ion correlated with 35729; ion correlated with 43232; ion correlated with 37409,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,23.68,Cornell_Neg_S-03_R2,673.37708:73057 674.38043:0 675.38379:0,,723.08099,5.54873205,4.741768973,5.070577969,3.81443282,3.506006008,3.089963876,3.323001916,5.07524577,4.16528895,3.2235411,3.645811357,4.137212711,4.179300513,4.47389831,4.534121336,3.962443144,3.298822949,3.416672728,4.272749638,3.608813105,4.150061705,3.812067709,2.919811478,2.644378743,3.599602046,3.389122396,3.605969521,3.601965334,3.398691594,3.68057188,3.460814226,3.524109847,3.3458952,3.336093809,2.532198224,3.678902638,3.553185429,3.876925056,3.481133009,-1.150895289,4.793877953,-0.554461262,0.00024964,0.283985672,0.269028412,12,1.23E-05,-0.000237293,0
42213,42213,13.29,789.04584,Unknown,[M-H]-,,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,5.33,Cornell_Neg_S-05,789.04584:66173 790.04919:0 791.05255:0,,854.02899,2.900448728,2.306969238,3.165158882,3.114088944,3.241975976,3.218189155,3.947407438,3.130046898,3.674327365,3.165306567,3.518435512,3.724835185,3.831917859,3.437361667,3.500468472,3.083366256,3.319270461,3.754626172,3.721850786,3.694630598,3.603914184,3.119082772,3.585094537,3.45708194,3.190096914,3.373254801,3.273230004,3.156762865,3.023386053,3.582919321,3.522896782,3.281661353,3.033974607,3.897970773,3.694717452,3.63004058,3.5468194,3.748400483,3.859669098,0.60104756,2.871666448,0.553290361,0.000258906,0.148762633,0.140927444,13,1.34E-05,-0.00024553,0
30032,30032,3.535,520.1214,Unknown,[M-H]-,ion correlated with 19526,0.022,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,9.72,Cornell_Neg_S-49,520.1214:448712 521.12475:320269 522.12811:174724,,552.24182,2.88458992,3.374577787,3.68606756,3.078039461,4.541270572,3.148984677,4.385341757,3.355288384,4.947494989,4.689251127,4.822821645,5.068746,4.1369144,3.762621423,4.262505204,4.973963297,4.989269566,4.626099026,3.48707765,4.539483843,4.913456207,4.121697889,4.19623147,4.121055316,3.979929031,3.973348337,3.986956569,3.608610973,4.320253932,4.578157667,3.943409392,4.10753838,4.439451122,3.816987893,4.268472661,4.241546481,3.995576037,4.119255889,4.894927743,1.011724077,3.255818682,0.553142467,0.000260098,0.250503853,0.237310049,14,1.44E-05,-0.000245694,0
41123,41123,10.645,761.4491,Unknown,[M-H]-,ion correlated with 37283; ion correlated with 28882; ion correlated with 31370; ion correlated with 8849; ion correlated with 41208; ion correlated with 42462; ion correlated with 42308; ion correlated with 32851; ion correlated with 42169; ion correlated with 42112; ion correlated with 21807; ion correlated with 37285; ion correlated with 29779,0.067,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,8.19,Cornell_Neg_S-15,761.4491:980813 762.45245:468138 763.45581:0,,820.11804,5.770593935,5.153369863,4.470695199,3.708682701,3.136080682,3.275617831,3.049323773,4.953469743,3.466456893,3.532703124,2.917216638,2.798745885,4.171755144,4.141288722,4.453460532,3.853724799,3.687049525,2.789524024,2.904876301,3.606342602,3.286778987,3.742472731,3.678112396,3.478653317,3.403058547,2.259001433,3.376756484,4.663076271,3.638628389,3.814751873,3.828778075,3.730109565,3.278436814,2.654318964,2.610937611,3.446045777,3.715984851,3.558153521,3.246788128,-1.285878854,4.775835424,-0.5526363,0.000264215,0.318804926,0.302013768,15,1.54E-05,-0.000248782,0
33931,33931,1.721,590.25665,Unknown,[M-H]-,,0.044,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,9.35,Cornell_Neg_S-35_R2,590.25665:82501 591.26:0 592.26336:0,,641.09222,4.862047853,4.739718667,4.765385389,4.936217074,5.21452463,5.141562644,5.301747075,5.142170386,5.247338537,5.119762161,5.145048715,5.089613719,5.236103758,4.959901969,5.161927732,5.233816938,4.729861047,5.104898335,5.205378967,4.989269566,4.718177716,4.962021097,5.379335437,5.023120711,5.288326372,5.178304853,5.225329962,5.224794545,4.996960182,5.221333371,5.095404748,5.112690445,5.179403842,5.086180024,5.14835274,5.333039995,5.418475306,5.102347936,5.388104756,0.320004332,4.825842246,0.550003716,0.000286589,0.079884074,0.075676654,16,1.65E-05,-0.000270127,0
10680,10680,2.14,238.7211,Unknown,[M-H]-,ion correlated with 23091; ion correlated with 26790; ion correlated with 18661; ion correlated with 48427; ion correlated with 14257; ion correlated with 42873; ion correlated with 21541; ion correlated with 44813; ion correlated with 48380; ion correlated with 24362; ion correlated with 48576; ion correlated with 42476; ion correlated with 48511; ion correlated with 48528; ion correlated with 27123; ion correlated with 45116; ion correlated with 45150; ion correlated with 31182; ion correlated with 37101; ion correlated with 10991; ion correlated with 37557; ion correlated with 45733,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,1142.82,Cornell_Neg_S-01,238.7211:57141 239.72445:0 240.72781:0,,254.13776,3.984742325,4.516752116,4.070480664,3.749810019,3.656769088,3.140515344,3.557483657,3.424563591,3.715524632,3.641440264,3.608703302,3.642953132,3.432758377,3.775067721,3.599436547,3.621064116,2.51475489,4.069287455,3.214499489,3.634249657,3.345953018,3.730479787,3.061707464,2.784502107,2.986133743,3.741056336,3.542964065,3.483048534,3.580280396,2.95234169,3.340568167,3.483494172,3.35318399,3.55992127,3.463831482,3.163974915,3.391198387,3.141666265,3.527378106,-0.655224705,4.080446281,-0.54796809,0.00030504,0.164437052,0.155776306,17,1.75E-05,-0.000287549,0
20715,20715,1.864,379.07211,Unknown,[M-H]-,,0.367,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,19.59,Cornell_Neg_S-26_R2,379.07211:451643 380.07546:0 381.07882:0,,408.00406,4.533030618,4.326898819,4.657107947,3.60272898,3.259705093,3.599797934,3.478429769,4.428790602,3.463092534,2.943901367,3.555590348,3.688620766,4.150001675,4.292233913,3.735215236,4.098330932,3.31341161,3.595565024,3.498681018,3.62452206,3.58220476,3.040263586,3.489182931,3.331642812,3.682644096,3.692109266,2.881770784,3.584187381,3.694471121,3.153408685,3.441319962,3.411588024,3.441754729,3.73784119,3.642186094,3.307182717,3.472907244,3.710309252,3.156587574,-0.731957246,4.279941591,-0.545279495,0.00033104,0.184987113,0.175244015,18,1.85E-05,-0.00031252,0
12476,12476,1.554,262.8194,Unknown,[M-H]-,,0.556,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,74.78,Cornell_Neg_S-35_R2,262.8194:907723 263.82275:0 264.82611:417597,,282.25137,3.799025965,3.932112225,3.83367981,2.468255546,4.482966433,4.256910082,4.271224296,4.322942516,4.390555375,4.222664457,4.240112238,4.253241054,3.291704285,4.690908978,4.332616937,4.520155887,4.561190858,4.116853692,4.280634541,3.997196927,4.317875378,3.811383483,4.894329911,3.960864851,4.024426318,3.625734849,4.548610502,4.592792774,4.029232276,3.993764987,4.173296438,4.211067119,4.168895061,4.188954372,4.493521395,4.34027552,4.274782853,4.305157829,4.026063171,0.726386118,3.508268387,0.544584482,0.000338077,0.183912462,0.174225964,19,1.95E-05,-0.000318528,0
45342,45342,9.311,883.64893,Unknown,[M-H]-,,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,6.17,Cornell_Neg_S-01,883.64893:31096 884.65228:0 885.65564:0,,978.23926,4.670250493,4.043300694,4.819728034,3.951387401,3.84889937,3.639223956,3.64333571,4.243751156,3.498727357,3.67931902,3.760976501,4.008453048,4.077304273,4.489709778,3.623880726,3.407031013,3.526724169,3.647151788,2.943514715,3.562237676,4.065172778,3.096233055,3.684103731,2.772309327,3.339196268,3.456395615,3.854193665,2.903865999,3.706709211,3.660173336,3.399086752,3.850145144,3.209068648,3.72209856,3.456408028,3.792716882,3.404174689,3.212260588,3.711718632,-0.774130337,4.371166655,-0.544485006,0.000339095,0.196051643,0.185725786,20,2.06E-05,-0.000318517,0
39399,39399,1.777,723.03345,Unknown,[M-H]-,ion correlated with 32489,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,4.12,Cornell_Neg_QC100_1,723.03345:87861 724.0368:0 725.04016:0,,772.06018,2.350468887,3.277707623,3.155326096,2.980705292,3.571194785,4.042084825,4.148012232,3.791076676,3.460656219,3.849915474,3.46087118,3.826324293,4.191298562,3.51203304,3.41802276,3.208020653,3.244901983,3.794819369,3.902307923,3.661258357,3.481662238,3.8276319,3.875922036,3.772219443,3.282457326,2.948132032,3.455373075,3.777358425,3.007111379,3.524763195,3.037288464,3.94579229,3.443447965,3.331653281,3.837506597,3.768563327,3.490624884,3.565927157,3.525699488,0.658431821,2.941051975,0.541990193,0.000365541,0.167840481,0.15900048,21,2.16E-05,-0.000343935,0
36953,36953,17.281,665.35474,Unknown,[M-H]-,ion correlated with 32838; ion correlated with 45586; ion correlated with 16591; ion correlated with 14933; ion correlated with 19879,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,20.83,Cornell_Neg_QC100_1,665.35474:79061 666.35809:0 667.36145:0,,715.30499,2.388667273,2.069448707,3.043974324,3.366764539,3.67441509,3.644603285,3.186662959,3.300772309,4.349927496,3.494219907,4.50522202,3.581203959,3.712226954,2.833670294,3.322057411,3.236489693,3.506427355,3.213474229,3.550096492,3.732965025,4.146164456,3.630912714,3.372035444,3.123138553,3.06003922,3.330064364,3.487350921,3.642229919,3.469495853,3.422054819,3.91647761,3.905959142,3.18422092,2.943609166,3.619819842,3.54160345,3.424259791,3.468322349,4.234356807,0.818973427,2.717213711,0.54093364,0.000377288,0.209341176,0.198315372,22,2.26E-05,-0.000354652,0
26426,26426,10.707,465.00232,Unknown,[M-H]-,ion correlated with 30218; ion correlated with 21768,0.011,FALSE,,,,,,,999,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,7.53,Cornell_Neg_S-05,465.00232:126553 466.00567:0 467.00903:0,,494.94943,5.230904948,5.055721424,4.433238864,3.572816532,3.577903957,2.186446049,3.713673554,4.414732188,3.758179496,3.473088256,3.630786412,3.461741787,3.4894275,3.954104872,4.748931108,3.724854138,3.444242432,3.230321936,3.605722709,3.805434226,3.283577151,3.044422257,3.467465783,2.957362652,3.570087956,3.704060997,2.479277399,3.50190054,3.65263543,3.612313723,2.78031452,2.66139492,4.273483431,3.010842098,3.656472216,3.742668514,3.042893331,3.475704471,3.611523079,-1.094656411,4.573170442,-0.540826492,0.000378498,0.279888005,0.265146565,23,2.37E-05,-0.000354833,0
